 start_time,end_time,servce_provider,longi,lati,upload_speed,download_speed,delay,bandwith_1,earfcn_1,physical_cell_id_1,plmn_1,global_cell_id_1,ecgi_1,rsrp_1,rsrq_1,sinr_1,bandwith_2,earfcn_2,physical_cell_id_2,plmn_2,global_cell_id_1,ecgi_2,rsrp_2,rsrq_2,sinr_2,altitude
2022-06-14 21_33_36.118291,2022-06-14 21_34_51.951226,JIO,NA,NA,0.097464047147156,0.04516321427162,69.092,20MHz,38750,350,405854,2001938,405854006f01e8c12,-98dBm,-10dB,8dB,20MHz,38750,350,405854,2001938,405854006f01e8c12,-99dBm,-10dB,6dB,7
2022-06-14 21_34_56.724652,2022-06-14 21_36_14.983007,JIO,NA,NA,0.089387012359169,0.045357946774426,70.896,20MHz,38750,350,405854,2001938,405854006f01e8c12,-99dBm,-10dB,5dB,20MHz,38750,350,405854,2001938,405854006f01e8c12,-99dBm,-10dB,11dB,7
2022-06-14 21_36_40.807577,2022-06-14 21_38_05.352721,JIO,NA,NA,0.103449288966681,0.046346704149865,68.774,20MHz,38750,350,405854,2001938,405854006f01e8c12,-99dBm,-10dB,4dB,20MHz,38750,350,405854,2001938,405854006f01e8c12,-94dBm,-10dB,13dB,7
2022-06-15 11_17_25.381726,2022-06-15 11_18_34.547226,JIO,NA,NA,6.96705023762782,17.6028326173079,81.31,20MHz,38948,129,405854,2001941,405854006f01e8c15,-83dBm,-10dB,23dB,20MHz,38948,129,405854,2001941,405854006f01e8c15,-75dBm,-10dB,8dB,7
2022-06-15 11_23_06.417333,2022-06-15 11_24_23.672685,JIO,NA,NA,6.33276563384675,23.6041915968174,72.239,1OMHz,1251,35,405854,2001957,405854006f01e8c25,-88dBm,-10dB,12dB,20MHz,38750,350,405854,2001938,405854006f01e8c12,-86dBm,-10dB,8dB,0
2022-06-15 11_24_30.042556,2022-06-15 11_25_44.651341,JIO,NA,NA,6.26280866522552,16.0263640003614,70.538,20MHz,38750,350,405854,2001938,405854006f01e8c12,-86dBm,-10dB,10dB,20MHz,38750,350,405854,2001938,405854006f01e8c12,-91dBm,-10dB,8dB,0
2022-06-15 11_26_10.863780,2022-06-15 11_27_27.648796,JIO,NA,NA,6.1206505738401,19.2955135065248,64.237,20MHz,38948,129,405854,2001941,405854006f01e8c15,-91dBm,-10dB,20dB,20MHz,38948,129,405854,2001941,405854006f01e8c15,-91dBm,-10dB,16dB,0
2022-06-15 11_27_31.150258,2022-06-15 11_28_26.978096,JIO,NA,NA,6.81779827192275,23.6121144849114,70.797,20MHz,38948,129,405854,2001941,405854006f01e8c15,-91dBm,-10dB,15dB,20MHz,38948,129,405854,2001941,405854006f01e8c15,-89dBm,-10dB,19dB,0
2022-06-15 11_31_10.112291,2022-06-15 11_32_24.226392,JIO,NA,NA,6.45463783464703,14.4494477311957,73.537,20MHz,38750,39,405854,2001936,405854006f01 e8c10,-89dBm,-15dB,18dB,20MHz,38750,350,405854,2001938,405854006f01e8c12,-86dBm,-10dB,3dB,0
2022-06-15 11_32_25.716754,2022-06-15 11_33_39.307228,JIO,NA,NA,5.47511786068853,13.8325677200164,72.208,20MHz,38750,350,405854,2001938,405854006f01e8c12,-86dBm,-10dB,13dB,20MHz,38750,350,405854,2001938,405854006f01e8c12,-101dBm,-10dB,8dB,1
2022-06-15 11_33_51.072039,2022-06-15 11_35_10.719216,JIO,NA,NA,4.14966863754118,19.1098788217292,70.756,20MHz,38750,350,405854,2001938,405854006f01e8c12,-96dBm,-15dB,3dB,20MHz,38750,350,405854,2001938,405854006f01e8c12,-108dBm,-11dB,17dB,1
